strike,maturity,iv,forward,expiry,ticker,date
140.47,2.5452054794520547,1.18559304789326,281.20888285254637,2025-05-16,AXP,2022-10-30
168.564,2.5452054794520547,1.02080356076019,281.20888285254637,2025-05-16,AXP,2022-10-30
196.658,2.5452054794520547,0.857210793459661,281.20888285254637,2025-05-16,AXP,2022-10-30
210.705,2.5452054794520547,0.7729386710903818,281.20888285254637,2025-05-16,AXP,2022-10-30
224.752,2.5452054794520547,0.6849036448679791,281.20888285254637,2025-05-16,AXP,2022-10-30
238.799,2.5452054794520547,0.590637329147829,281.20888285254637,2025-05-16,AXP,2022-10-30
252.846,2.5452054794520547,0.486046650564395,281.20888285254637,2025-05-16,AXP,2022-10-30
266.893,2.5452054794520547,0.363942506797283,281.20888285254637,2025-05-16,AXP,2022-10-30
273.9165,2.5452054794520547,0.295598749728387,281.20888285254637,2025-05-16,AXP,2022-10-30
280.94,2.5452054794520547,0.250081314731513,281.20888285254637,2025-05-16,AXP,2022-10-30
287.9635,2.5452054794520547,0.287369316891915,281.20888285254637,2025-05-16,AXP,2022-10-30
294.987,2.5452054794520547,0.348462336215874,281.20888285254637,2025-05-16,AXP,2022-10-30
309.034,2.5452054794520547,0.453547083793671,281.20888285254637,2025-05-16,AXP,2022-10-30
323.081,2.5452054794520547,0.53737268338424,281.20888285254637,2025-05-16,AXP,2022-10-30
337.128,2.5452054794520547,0.607420032131812,281.20888285254637,2025-05-16,AXP,2022-10-30
351.175,2.5452054794520547,0.667935931172515,281.20888285254637,2025-05-16,AXP,2022-10-30
365.222,2.5452054794520547,0.721401835691728,281.20888285254637,2025-05-16,AXP,2022-10-30
393.316,2.5452054794520547,0.812998910888779,281.20888285254637,2025-05-16,AXP,2022-10-30
421.41,2.5452054794520547,0.889907811556187,281.20888285254637,2025-05-16,AXP,2022-10-30
140.47,2.6410958904109587,0.737669757627126,282.3915960958219,2025-06-20,AXP,2022-10-30
168.564,2.6410958904109587,0.638379761163656,282.3915960958219,2025-06-20,AXP,2022-10-30
196.658,2.6410958904109587,0.541193816100954,282.3915960958219,2025-06-20,AXP,2022-10-30
210.705,2.6410958904109587,0.49211296980997604,282.3915960958219,2025-06-20,AXP,2022-10-30
224.752,2.6410958904109587,0.44207693669442993,282.3915960958219,2025-06-20,AXP,2022-10-30
238.799,2.6410958904109587,0.390783912447162,282.3915960958219,2025-06-20,AXP,2022-10-30
252.846,2.6410958904109587,0.338632953583125,282.3915960958219,2025-06-20,AXP,2022-10-30
266.893,2.6410958904109587,0.288670270159857,282.3915960958219,2025-06-20,AXP,2022-10-30
273.9165,2.6410958904109587,0.267333437002708,282.3915960958219,2025-06-20,AXP,2022-10-30
280.94,2.6410958904109587,0.25111380787021,282.3915960958219,2025-06-20,AXP,2022-10-30
287.9635,2.6410958904109587,0.24180928378795202,282.3915960958219,2025-06-20,AXP,2022-10-30
